Captain Login Credentials
=========================
Password for ALL captains: 123456

Team | Captain | Phone (WhatsApp login)
-----|---------|------------------------
Team 1   | Captain 1   | 03001000001
Team 2   | Captain 2   | 03001000002
Team 3   | Captain 3   | 03001000003
Team 4   | Captain 4   | 03001000004
Team 5   | Captain 5   | 03001000005
Team 6   | Captain 6   | 03001000006
Team 7   | Captain 7   | 03001000007
Team 8   | Captain 8   | 03001000008
Team 9   | Captain 9   | 03001000009
Team 10  | Captain 10  | 03001000010
Team 11  | Captain 11  | 03001000011
Team 12  | Captain 12  | 03001000012
Team 13  | Captain 13  | 03001000013
Team 14  | Captain 14  | 03001000014
Team 15  | Captain 15  | 03001000015
Team 16  | Captain 16  | 03001000016
Team 17  | Captain 17  | 03001000017
Team 18  | Captain 18  | 03001000018
Team 19  | Captain 19  | 03001000019
Team 20  | Captain 20  | 03001000020
Team 21  | Captain 21  | 03001000021
Team 22  | Captain 22  | 03001000022
Team 23  | Captain 23  | 03001000023
Team 24  | Captain 24  | 03001000024
Team 25  | Captain 25  | 03001000025
Team 26  | Captain 26  | 03001000026
Team 27  | Captain 27  | 03001000027
Team 28  | Captain 28  | 03001000028
Team 29  | Captain 29  | 03001000029
Team 30  | Captain 30  | 03001000030
Team 31  | Captain 31  | 03001000031
Team 32  | Captain 32  | 03001000032
Team 33  | Captain 33  | 03001000033
Team 34  | Captain 34  | 03001000034
Team 35  | Captain 35  | 03001000035
Team 36  | Captain 36  | 03001000036
Team 37  | Captain 37  | 03001000037
Team 38  | Captain 38  | 03001000038
Team 39  | Captain 39  | 03001000039
Team 40  | Captain 40  | 03001000040
Team 41  | Captain 41  | 03001000041
Team 42  | Captain 42  | 03001000042
Team 43  | Captain 43  | 03001000043
Team 44  | Captain 44  | 03001000044
Team 45  | Captain 45  | 03001000045
Team 46  | Captain 46  | 03001000046
Team 47  | Captain 47  | 03001000047
Team 48  | Captain 48  | 03001000048

Total teams: 48
